cluster,avg,total
0,8.0152115,16.030423
1,30.046393,30.046393
2,0.0,0.0
3,17.5541501667,210.649802
4,5.44039266667,16.321178
5,0.0,0.0
6,0.0,0.0
7,1.5068798,7.534399
8,0.0,0.0
9,25.5456138039,1302.826304
10,14.157801,42.473403
11,0.0346737777778,0.312064
-1,10.6583019815,575.548307
